complaint_id,user_id,user_name,user_role,complaint_description,problem_category,responsible_department,location,severity,priority,affected_people,status,created_at,resolved_at,predicted_resolution_hours,actual_resolution_hours,feedback_rating
CMP00001,STU7912,Student_7912,Student,library computer issue,Library,Library Administration,Main Block,High,4,23,Closed,2025-04-15 21:47:00,2025-04-16 04:47:00,7.0,7.8,1.0
CMP00002,STU1106,Student_1106,Student,tap not working,Plumbing,Plumbing Maintenance,Computer Lab 2,Medium,3,72,Resolved,2026-07-13 13:14:00,2026-07-14 03:14:00,14.0,14.2,4.0
CMP00003,STU1711,Student_1711,Staff,fan speed problem,HVAC,HVAC Maintenance,Block D,Low,2,68,Resolved,2026-01-25 03:22:00,2026-01-25 21:34:00,18.2,17.5,5.0
CMP00004,STU4733,Student_4733,Staff,wash basin blocked,Plumbing,Plumbing Maintenance,Block B,Medium,3,12,Resolved,2026-01-06 18:12:00,2026-01-07 08:12:00,14.0,12.2,1.0
CMP00005,STU3803,Student_3803,Student,wifi not working,WiFi/Network,IT/Network,Seminar Hall,Medium,3,19,Resolved,2026-01-15 11:13:00,2026-01-15 21:19:00,10.1,9.0,2.0
CMP00006,STU7572,Student_7572,Staff,door lock problem,Security,Security,AI Lab,Critical,5,81,Resolved,2025-11-29 01:14:00,2025-11-29 03:38:00,2.4,0.9,1.0
CMP00007,STU9830,Student_9830,Staff,LAN port not working,WiFi/Network,IT/Network,Placement Cell,Medium,4,144,Assigned,2026-04-15 04:16:00,,10.3,,
CMP00008,STU2796,Student_2796,Student,projector issue in lab,Laboratory,Laboratory Maintenance,Auditorium,High,4,13,Closed,2026-02-13 11:14:00,2026-02-13 16:44:00,5.5,6.6,2.0
CMP00009,STU2876,Student_2876,Staff,chair issue in library,Library,Library Administration,Parking Area,Low,1,3,Resolved,2026-01-26 19:29:00,2026-01-27 17:29:00,22.0,24.9,3.0
CMP00010,STU2743,Student_2743,Staff,pipe leakage,Plumbing,Plumbing Maintenance,Auditorium,Low,3,130,Resolved,2025-01-04 23:56:00,2025-01-05 16:20:00,16.4,18.9,5.0
CMP00011,STU1319,Student_1319,Student,water heater not working,Hostel,Hostel Maintenance,Block D,Medium,4,126,Closed,2025-06-15 17:49:00,2025-06-16 04:55:00,11.1,12.9,3.0
CMP00012,STU3060,Student_3060,Student,desk damaged,Furniture,Civil/Maintenance,Block A,Low,3,137,Resolved,2026-08-04 02:05:00,2026-08-04 17:05:00,15.0,16.7,4.0
CMP00013,STU7537,Student_7537,Staff,bus cleanliness issue,Transport,Transport,AI Lab,Medium,3,80,Resolved,2026-03-10 06:59:00,2026-03-10 11:23:00,4.4,4.3,4.0
CMP00014,STU1964,Student_1964,Student,vehicle entry issue,Transport,Transport,Block C,Low,2,19,Resolved,2025-03-07 10:01:00,2025-03-08 01:01:00,15.0,15.1,1.0
CMP00015,STU8744,Student_8744,Student,power socket damaged,Electrical,Electrical Maintenance,Block B,Medium,3,34,Assigned,2025-10-13 21:31:00,,14.1,,
CMP00016,STU1993,Student_1993,Staff,door lock problem,Security,Security,Computer Lab 1,Low,2,26,Resolved,2026-02-25 14:55:00,2026-02-26 06:37:00,15.7,14.5,3.0
CMP00017,STU8260,Student_8260,Student,tap not working,Plumbing,Plumbing Maintenance,Computer Lab 1,Low,2,20,Closed,2025-10-13 14:15:00,2025-10-14 03:45:00,13.5,14.0,1.0
CMP00018,STU1960,Student_1960,Student,noise complaint,Library,Library Administration,Main Block,Critical,5,103,Resolved,2025-06-20 13:31:00,2025-06-20 17:49:00,4.3,3.0,4.0
CMP00019,STU5861,Student_5861,Student,power outage,Electrical,Electrical Maintenance,AI Lab,High,4,49,Resolved,2026-07-24 21:45:00,2026-07-25 05:03:00,7.3,6.1,1.0
CMP00020,STU2312,Student_2312,Student,bed repair needed,Hostel,Hostel Maintenance,Block A,High,5,131,Submitted,2026-05-30 16:10:00,,9.2,,
CMP00021,STU2343,Student_2343,Staff,toilet water problem,Plumbing,Plumbing Maintenance,Block B,Medium,3,11,Closed,2025-08-29 12:07:00,2025-08-30 01:31:00,13.4,11.6,5.0
CMP00022,STU7484,Student_7484,Student,bed repair needed,Hostel,Hostel Maintenance,Electronics Lab,Critical,5,68,In Progress,2025-07-29 21:45:00,,2.6,,
CMP00023,STU9808,Student_9808,Student,light issue in library,Library,Library Administration,Cafeteria,Medium,3,19,Closed,2026-04-15 19:36:00,2026-04-16 07:36:00,12.0,11.4,5.0
CMP00024,STU9666,Student_9666,Student,desk damaged,Furniture,Civil/Maintenance,Mechanical Lab,High,4,78,Resolved,2025-06-11 14:53:00,2025-06-11 23:05:00,8.2,7.2,5.0
CMP00025,STU4450,Student_4450,Staff,table needs repair,Furniture,Civil/Maintenance,Block C,Critical,5,73,Assigned,2025-04-20 23:35:00,,3.2,,
CMP00026,STU5291,Student_5291,Student,network unavailable,WiFi/Network,IT/Network,Hostel B,Medium,3,34,Resolved,2025-02-22 02:40:00,2025-02-22 15:46:00,13.1,13.1,4.0
CMP00027,STU7049,Student_7049,Student,vehicle entry issue,Transport,Transport,Hostel C,Very Low,1,10,Assigned,2025-03-19 22:57:00,,24.5,,
CMP00028,STU6794,Student_6794,Staff,computer not working,IT/AV,IT/AV Support,Block A,Medium,3,27,Resolved,2025-02-10 11:13:00,2025-02-11 03:31:00,16.3,14.7,5.0
CMP00029,STU7745,Student_7745,Student,computer lab network issue,Laboratory,Laboratory Maintenance,Computer Lab 2,High,5,86,Resolved,2026-02-27 00:11:00,2026-02-27 10:23:00,10.2,9.8,3.0
CMP00030,STU4652,Student_4652,Student,spillage needs cleaning,Cleaning,Housekeeping,Block C,Medium,3,59,In Progress,2025-07-24 14:22:00,,15.3,,
CMP00031,STU6425,Student_6425,Student,AC issue in library,Library,Library Administration,Seminar Hall,Medium,4,138,Resolved,2025-03-13 08:22:00,2025-03-13 21:10:00,12.8,9.4,1.0
CMP00032,STU9379,Student_9379,Student,desk damaged,Furniture,Civil/Maintenance,Sports Ground,Critical,5,112,Resolved,2025-09-29 01:06:00,2025-09-29 05:18:00,4.2,2.7,4.0
CMP00033,STU6967,Student_6967,Staff,water heater not working,Hostel,Hostel Maintenance,AI Lab,Very Low,1,51,Closed,2026-03-23 00:33:00,2026-03-24 09:15:00,32.7,30.4,1.0
CMP00034,STU7691,Student_7691,Staff,light issue in library,Library,Library Administration,Parking Area,Medium,3,80,In Progress,2025-05-08 23:57:00,,10.9,,
CMP00035,STU1006,Student_1006,Staff,speaker not working,IT/AV,IT/AV Support,Hostel C,Low,3,141,In Progress,2025-06-28 19:36:00,,8.6,,
CMP00036,STU2389,Student_2389,Staff,desk damaged,Furniture,Civil/Maintenance,Auditorium,High,4,44,Resolved,2025-11-26 14:28:00,2025-11-26 23:28:00,9.0,9.4,5.0
CMP00037,STU3414,Student_3414,Student,noise complaint,Library,Library Administration,Electronics Lab,Low,2,51,Assigned,2025-08-29 21:19:00,,23.0,,
CMP00038,STU7547,Student_7547,Student,fan not working,Electrical,Electrical Maintenance,Hostel A,Medium,4,127,Resolved,2026-08-13 06:45:00,2026-08-13 19:09:00,12.4,10.8,2.0
CMP00039,STU8611,Student_8611,Student,library computer issue,Library,Library Administration,ECE Department,High,5,133,Closed,2025-08-13 05:51:00,2025-08-13 15:09:00,9.3,7.6,5.0
CMP00040,STU9270,Student_9270,Staff,wifi not working,WiFi/Network,IT/Network,Cafeteria,Low,3,114,Closed,2026-07-27 19:20:00,2026-07-28 07:56:00,12.6,13.0,5.0
CMP00041,STU8206,Student_8206,Student,security light issue,Security,Security,CSE Department,High,4,71,Resolved,2025-10-11 16:31:00,2025-10-11 20:43:00,4.2,5.0,3.0
CMP00042,STU2052,Student_2052,Staff,network unavailable,WiFi/Network,IT/Network,Electronics Lab,Medium,3,55,Assigned,2025-08-25 12:44:00,,10.4,,
CMP00043,STU7232,Student_7232,Staff,speaker not working,IT/AV,IT/AV Support,Hostel C,Medium,3,6,Resolved,2025-03-05 06:53:00,2025-03-05 18:29:00,11.6,13.2,1.0
CMP00044,STU4595,Student_4595,Staff,fan speed problem,HVAC,HVAC Maintenance,ECE Department,Medium,4,125,Resolved,2026-03-06 17:47:00,2026-03-07 03:35:00,9.8,10.8,4.0
CMP00045,STU1441,Student_1441,Staff,CCTV not working,Security,Security,Seminar Hall,Medium,4,137,Resolved,2026-02-19 23:10:00,2026-02-20 05:04:00,5.9,9.6,5.0
CMP00046,STU6363,Student_6363,Student,hostel room issue,Hostel,Hostel Maintenance,Block B,Medium,4,98,Submitted,2025-05-19 14:11:00,,7.9,,
CMP00047,STU9837,Student_9837,Student,access gate problem,Security,Security,Electronics Lab,High,4,5,Assigned,2026-03-08 08:53:00,,4.9,,
CMP00048,STU3496,Student_3496,Student,air conditioner leaking,HVAC,HVAC Maintenance,Main Gate,Low,2,6,Assigned,2025-02-11 00:15:00,,23.2,,
CMP00049,STU3683,Student_3683,Staff,dustbin overflowing,Cleaning,Housekeeping,Admin Office,Low,2,30,Resolved,2025-09-20 11:10:00,2025-09-21 09:58:00,22.8,22.3,1.0
CMP00050,STU2669,Student_2669,Staff,hostel room issue,Hostel,Hostel Maintenance,IoT Lab,Medium,3,63,Resolved,2025-07-23 02:37:00,2025-07-23 17:01:00,14.4,13.6,5.0
CMP00051,STU9031,Student_9031,Student,toilet water problem,Plumbing,Plumbing Maintenance,Block A,Medium,4,108,Submitted,2026-06-03 20:21:00,,9.4,,
CMP00052,STU9817,Student_9817,Staff,speaker not working,IT/AV,IT/AV Support,Main Gate,High,4,70,Resolved,2026-04-16 22:09:00,2026-04-17 05:51:00,7.7,7.3,4.0
CMP00053,STU6511,Student_6511,Student,printer not working,IT/AV,IT/AV Support,AI Lab,Medium,4,98,Closed,2025-09-09 02:17:00,2025-09-09 06:35:00,4.3,4.4,4.0
CMP00054,STU9464,Student_9464,Student,air conditioner leaking,HVAC,HVAC Maintenance,Hostel A,Low,1,3,Closed,2025-09-22 10:17:00,2025-09-23 09:17:00,23.0,22.6,1.0
CMP00055,STU5820,Student_5820,Student,poor wifi signal,WiFi/Network,IT/Network,Hostel A,Medium,3,24,Resolved,2025-09-04 22:30:00,2025-09-05 08:12:00,9.7,7.0,4.0
CMP00056,STU6764,Student_6764,Staff,computer lab network issue,Laboratory,Laboratory Maintenance,IoT Lab,Medium,4,85,Resolved,2026-01-13 15:35:00,2026-01-14 03:53:00,12.3,10.1,3.0
CMP00057,STU4545,Student_4545,Staff,bench damaged,Furniture,Civil/Maintenance,Computer Lab 2,Low,2,50,Resolved,2025-07-17 10:07:00,2025-07-18 07:31:00,21.4,23.6,3.0
CMP00058,STU6912,Student_6912,Student,projector issue in lab,Laboratory,Laboratory Maintenance,ECE Department,Medium,3,59,Assigned,2025-10-17 03:53:00,,10.6,,
CMP00059,STU2680,Student_2680,Student,chair broken,Furniture,Civil/Maintenance,Placement Cell,Medium,4,126,Closed,2026-07-21 09:44:00,2026-07-21 20:32:00,10.8,14.8,5.0
CMP00060,STU2213,Student_2213,Student,door handle broken,Furniture,Civil/Maintenance,Hostel A,Medium,4,126,Submitted,2026-05-05 03:52:00,,12.4,,
CMP00061,STU9561,Student_9561,Staff,washroom cleaning required,Cleaning,Housekeeping,Sports Ground,Critical,5,58,Resolved,2025-03-29 07:07:00,2025-03-29 10:19:00,3.2,1.5,4.0
CMP00062,STU4404,Student_4404,Student,access gate problem,Security,Security,Sports Ground,Critical,5,26,Submitted,2025-11-09 18:39:00,,3.5,,
CMP00063,STU5771,Student_5771,Student,table needs repair,Furniture,Civil/Maintenance,Block B,Low,3,121,Resolved,2025-01-03 13:28:00,2025-01-04 08:16:00,18.8,19.3,2.0
CMP00064,STU7965,Student_7965,Student,table needs repair,Furniture,Civil/Maintenance,IoT Lab,High,4,51,Resolved,2025-09-28 20:37:00,2025-09-29 01:01:00,4.4,5.1,5.0
CMP00065,STU8195,Student_8195,Student,internet connection slow,WiFi/Network,IT/Network,AI Lab,High,4,74,Resolved,2025-11-11 19:47:00,2025-11-12 03:41:00,7.9,8.3,4.0
CMP00066,STU6280,Student_6280,Staff,lab power problem,Laboratory,Laboratory Maintenance,Placement Cell,Medium,4,111,Submitted,2026-03-25 02:38:00,,11.5,,
CMP00067,STU3870,Student_3870,Staff,light not working,Electrical,Electrical Maintenance,Computer Lab 2,Critical,5,11,Closed,2026-08-13 18:01:00,2026-08-13 21:55:00,3.9,3.3,5.0
CMP00068,STU6460,Student_6460,Staff,chair issue in library,Library,Library Administration,AI Lab,Low,3,105,Resolved,2026-08-23 13:40:00,2026-08-24 04:34:00,14.9,16.6,1.0
CMP00069,STU5135,Student_5135,Staff,garbage not removed,Cleaning,Housekeeping,Auditorium,Medium,4,81,Resolved,2025-10-23 21:25:00,2025-10-24 08:43:00,11.3,9.7,1.0
CMP00070,STU6927,Student_6927,Staff,printer not working,IT/AV,IT/AV Support,Main Block,Medium,4,133,Submitted,2026-07-10 14:26:00,,11.0,,
CMP00071,STU1472,Student_1472,Student,chair issue in library,Library,Library Administration,ECE Department,Low,2,32,Resolved,2025-10-22 14:56:00,2025-10-23 08:38:00,17.7,18.5,2.0
CMP00072,STU9165,Student_9165,Staff,window damaged,Furniture,Civil/Maintenance,Main Block,Medium,3,40,Resolved,2025-04-27 14:07:00,2025-04-28 09:55:00,19.8,22.4,5.0
CMP00073,STU3236,Student_3236,Student,lab power problem,Laboratory,Laboratory Maintenance,Auditorium,High,5,131,Assigned,2026-07-19 04:24:00,,8.3,,
CMP00074,STU9022,Student_9022,Student,door handle broken,Furniture,Civil/Maintenance,Electronics Lab,Critical,5,77,Submitted,2026-06-04 08:52:00,,2.9,,
CMP00075,STU7274,Student_7274,Student,emergency alarm issue,Security,Security,Hostel A,Medium,3,62,Assigned,2026-04-12 10:55:00,,8.4,,
CMP00076,STU3068,Student_3068,Staff,projector not working,IT/AV,IT/AV Support,Electronics Lab,High,4,10,Resolved,2026-01-26 12:42:00,2026-01-26 19:00:00,6.3,5.8,1.0
CMP00077,STU5342,Student_5342,Staff,CCTV not working,Security,Security,Hostel B,High,5,121,Resolved,2025-01-16 23:09:00,2025-01-17 05:21:00,6.2,5.7,5.0
CMP00078,STU9864,Student_9864,Student,equipment maintenance required,Laboratory,Laboratory Maintenance,Main Gate,Low,3,125,Resolved,2025-12-03 21:54:00,2025-12-04 13:42:00,15.8,17.8,5.0
CMP00079,STU2646,Student_2646,Staff,tap not working,Plumbing,Plumbing Maintenance,Main Gate,Medium,3,26,Assigned,2025-10-22 07:47:00,,10.8,,
CMP00080,STU9702,Student_9702,Staff,spillage needs cleaning,Cleaning,Housekeeping,IoT Lab,High,4,63,Resolved,2025-10-28 11:23:00,2025-10-28 21:23:00,10.0,10.8,5.0
CMP00081,STU8555,Student_8555,Staff,AC issue in library,Library,Library Administration,Library,Low,2,60,Resolved,2025-09-04 15:58:00,2025-09-05 06:34:00,14.6,13.7,4.0
CMP00082,STU5901,Student_5901,Staff,table needs repair,Furniture,Civil/Maintenance,Main Block,High,5,89,Resolved,2026-07-14 05:04:00,2026-07-14 10:40:00,5.6,5.9,3.0
CMP00083,STU1359,Student_1359,Staff,access gate problem,Security,Security,Computer Lab 1,Critical,5,76,Resolved,2026-01-26 18:22:00,2026-01-26 21:34:00,3.2,2.6,3.0
CMP00084,STU4588,Student_4588,Student,switch broken,Electrical,Electrical Maintenance,Admin Office,High,5,91,Resolved,2026-05-24 09:49:00,2026-05-24 20:37:00,10.8,10.3,5.0
CMP00085,STU1546,Student_1546,Staff,table needs repair,Furniture,Civil/Maintenance,ECE Department,High,5,113,Submitted,2025-04-10 20:41:00,,5.2,,
CMP00086,STU9837,Student_9837,Staff,computer lab network issue,Laboratory,Laboratory Maintenance,Block B,High,4,34,Assigned,2025-12-01 23:26:00,,4.2,,
CMP00087,STU8673,Student_8673,Student,shuttle unavailable,Transport,Transport,AI Lab,High,4,30,Closed,2026-05-09 09:47:00,2026-05-09 16:41:00,6.9,9.7,2.0
CMP00088,STU7242,Student_7242,Staff,poor wifi signal,WiFi/Network,IT/Network,Hostel C,Medium,3,68,In Progress,2026-07-04 03:29:00,,12.1,,
CMP00089,STU5951,Student_5951,Staff,no water supply,Plumbing,Plumbing Maintenance,Computer Lab 2,Medium,4,119,Resolved,2026-07-29 10:58:00,2026-07-29 22:28:00,11.5,10.2,1.0
CMP00090,STU3222,Student_3222,Staff,classroom not cleaned,Cleaning,Housekeeping,Block A,Medium,4,138,In Progress,2026-05-20 03:06:00,,8.6,,
CMP00091,STU2622,Student_2622,Staff,access gate problem,Security,Security,Admin Office,Critical,5,107,Assigned,2026-08-25 23:46:00,,2.7,,
CMP00092,STU9920,Student_9920,Staff,hostel cleaning required,Hostel,Hostel Maintenance,AI Lab,Very Low,2,95,Resolved,2026-01-15 06:28:00,2026-01-15 23:22:00,16.9,17.0,1.0
CMP00093,STU1828,Student_1828,Staff,speaker not working,IT/AV,IT/AV Support,Computer Lab 1,Critical,5,6,Assigned,2026-04-11 02:42:00,,3.7,,
CMP00094,STU3417,Student_3417,Student,internet connection slow,WiFi/Network,IT/Network,Sports Ground,Low,3,85,Closed,2026-08-24 06:52:00,2026-08-25 03:34:00,20.7,19.0,3.0
CMP00095,STU6304,Student_6304,Student,washroom cleaning required,Cleaning,Housekeeping,Hostel C,Medium,3,61,In Progress,2025-01-27 04:00:00,,14.0,,
CMP00096,STU2786,Student_2786,Staff,garbage not removed,Cleaning,Housekeeping,Block A,Low,3,132,Resolved,2026-03-08 16:07:00,2026-03-09 16:01:00,23.9,21.3,5.0
CMP00097,STU7984,Student_7984,Student,LAN port not working,WiFi/Network,IT/Network,Block A,High,5,103,Resolved,2026-06-18 09:29:00,2026-06-18 16:59:00,7.5,12.8,4.0
CMP00098,STU9984,Student_9984,Staff,equipment maintenance required,Laboratory,Laboratory Maintenance,Block B,High,4,71,Submitted,2025-11-26 19:09:00,,8.2,,
CMP00099,STU4522,Student_4522,Staff,printer not working,IT/AV,IT/AV Support,Hostel B,Medium,4,142,Closed,2025-04-28 20:41:00,2025-04-29 05:29:00,8.8,8.7,4.0
CMP00100,STU3500,Student_3500,Staff,poor wifi signal,WiFi/Network,IT/Network,Electronics Lab,High,5,96,Resolved,2025-11-17 13:20:00,2025-11-17 18:02:00,4.7,6.1,1.0
CMP00101,STU6400,Student_6400,Student,water leakage,Plumbing,Plumbing Maintenance,Block B,Medium,4,144,Resolved,2025-05-14 17:03:00,2025-05-15 04:57:00,11.9,10.5,4.0
CMP00102,STU4674,Student_4674,Student,room too hot,HVAC,HVAC Maintenance,CSE Department,Low,3,124,Assigned,2025-04-17 18:32:00,,17.1,,
CMP00103,STU1430,Student_1430,Staff,ventilation problem,HVAC,HVAC Maintenance,Mechanical Lab,Low,3,143,Resolved,2025-10-13 18:14:00,2025-10-14 16:02:00,21.8,24.1,1.0
CMP00104,STU7566,Student_7566,Student,garbage not removed,Cleaning,Housekeeping,Placement Cell,High,4,37,Assigned,2025-12-14 11:00:00,,3.1,,
CMP00105,STU6105,Student_6105,Staff,spillage needs cleaning,Cleaning,Housekeeping,Main Gate,Critical,5,95,In Progress,2026-01-21 13:29:00,,3.8,,
CMP00106,STU8957,Student_8957,Staff,bed repair needed,Hostel,Hostel Maintenance,Block B,High,5,109,Resolved,2025-06-09 05:48:00,2025-06-09 14:00:00,8.2,7.7,4.0
CMP00107,STU9633,Student_9633,Staff,desk damaged,Furniture,Civil/Maintenance,ECE Department,Medium,4,125,In Progress,2025-12-20 13:07:00,,9.9,,
CMP00108,STU2965,Student_2965,Student,fan not working,Electrical,Electrical Maintenance,Seminar Hall,Critical,5,84,In Progress,2025-08-05 04:48:00,,3.5,,
CMP00109,STU7505,Student_7505,Student,door lock problem,Security,Security,Library,Low,2,19,Resolved,2026-06-30 22:14:00,2026-07-01 17:14:00,19.0,20.4,4.0
CMP00110,STU1341,Student_1341,Staff,power outage,Electrical,Electrical Maintenance,Block B,High,5,104,Resolved,2026-08-13 13:36:00,2026-08-13 17:54:00,4.3,3.5,2.0
CMP00111,STU7560,Student_7560,Student,hostel cleaning required,Hostel,Hostel Maintenance,Placement Cell,High,5,112,Assigned,2025-04-01 13:54:00,,5.9,,
CMP00112,STU6724,Student_6724,Staff,speaker not working,IT/AV,IT/AV Support,CSE Department,Medium,3,50,Resolved,2026-06-07 20:07:00,2026-06-08 07:13:00,11.1,11.9,2.0
CMP00113,STU8354,Student_8354,Staff,wifi not working,WiFi/Network,IT/Network,Block D,Medium,4,119,Resolved,2025-03-19 05:49:00,2025-03-19 18:37:00,12.8,13.6,3.0
CMP00114,STU8565,Student_8565,Staff,dustbin overflowing,Cleaning,Housekeeping,Block B,Medium,3,80,Resolved,2026-08-29 01:22:00,2026-08-29 09:46:00,8.4,6.4,1.0
CMP00115,STU1672,Student_1672,Staff,power socket damaged,Electrical,Electrical Maintenance,IoT Lab,Low,3,142,Resolved,2026-09-01 16:24:00,2026-09-02 16:12:00,23.8,21.6,5.0
